functional_area,subgroup,classification_ids,workload_assumptions,formula_id,operational_assumptions,capacity_output
ROOMS_MATERNITY_BIRTH,Assisted delivery,"CLASS_MATERNITY, CLASS_BIRTH_ASSISTED",MATERNITY_ASSISTED_DELIVERY_BIRTH_ROOM_LOS,FRM_BED_OCCUPANCY,"MATERNITY_BIRTH_ROOM_OCC, MATERNITY_BIRTH_ROOM_ANNUAL_OPERATIONAL_DAYS",ASSISTED_DELIVERY_MATERNITY_BIRTH_ROOMS
ROOMS_MATERNITY_BIRTH,Non-elective C-section,"CLASS_MATERNITY, CLASS_BIRTH_NONELECTIVE_CSECTION",MATERNITY_NON_ELECTIVE_C_SECTION_BIRTH_ROOM_LOS,FRM_BED_OCCUPANCY,"MATERNITY_BIRTH_ROOM_OCC, MATERNITY_BIRTH_ROOM_ANNUAL_OPERATIONAL_DAYS",NON_ELECTIVE_C_SECTION_MATERNITY_BIRTH_ROOMS
THEATRES_OBSTETRIC_PROC,All groups,"{Elective C-section: CLASS_MATERNITY, CLASS_BIRTH_EVENT, CLASS_BIRTH_ELECTIVE_CSECTION}, {Non-Elective C-section: CLASS_MATERNITY, CLASS_BIRTH_EVENT, CLASS_BIRTH_NON_ELECTIVE_CSECTION}",OBSTETRIC_THEATRE_PROC_TIME,FRM_TIME_UTIL,"OBSTETRIC_THEATRE_UTIL, OBSTETRIC_THEATRE_ANNUAL_OPERATIONAL_HOURS",OBSTETRIC_PROC_THEATRES
THEATRES_OBSTETRIC_PROC,All groups,"{Elective C-section: CLASS_MATERNITY, CLASS_BIRTH_EVENT, CLASS_BIRTH_ELECTIVE_CSECTION}, {Non-Elective C-section: CLASS_MATERNITY, CLASS_BIRTH_EVENT, CLASS_BIRTH_NON_ELECTIVE_CSECTION}",OBSTETRIC_THEATRE_PROC_TIME,FRM_TIME_UTIL,"OBSTETRIC_THEATRE_UTIL, OBSTETRIC_THEATRE_ANNUAL_OPERATIONAL_HOURS",OBSTETRIC_PROC_THEATRES
THEATRES_DAYCASE_PROC,Adult surgical,"CLASS_DAYCASE, CLASS_HAS_PROCEDURE, CLASS_AGE_ADULT, CLASS_SURGICAL",DAYCASE_THEATRE_ADULT_SURGICAL_PROC_TIME,FRM_TIME_UTIL,"DAYCASE_THEATRE_UTIL, DAYCASE_THEATRE_ANNUAL_OPERATIONAL_HOURS",ADULT_SURGICAL_DAYCASE_PROC_THEATRES
THEATRES_DAYCASE_PROC,Paediatric,"CLASS_DAYCASE, CLASS_HAS_PROCEDURE, CLASS_AGE_CHILD",DAYCASE_THEATRE_PAED_PROC_TIME,FRM_TIME_UTIL,"DAYCASE_THEATRE_UTIL, DAYCASE_THEATRE_ANNUAL_OPERATIONAL_HOURS",PAEDIATRIC_DAYCASE_PROC_THEATRES
THEATRES_INPATIENT_PROC,Adult elective surgical,"CLASS_HAS_PROCEDURE, CLASS_AGE_ADULT, CLASS_ELECTIVE, CLASS_SURGICAL",INPATIENT_THEATRE_ADULT_ELEC_SURGICAL_PROC_TIME,FRM_TIME_UTIL,"INPATIENT_THEATRE_UTIL, INPATIENT_THEATRE_ANNUAL_OPERATIONAL_HOURS",ADULT_ELECTIVE_SURGICAL_INPATIENT_PROC_THEATRES
THEATRES_INPATIENT_PROC,Adult non-elective surgical,"CLASS_HAS_PROCEDURE, CLASS_AGE_ADULT, CLASS_NON_ELECTIVE, CLASS_SURGICAL",INPATIENT_THEATRE_ADULT_NON_ELECTIVE_SURGICAL_PROC_TIME,FRM_TIME_UTIL,"INPATIENT_THEATRE_UTIL, INPATIENT_THEATRE_ANNUAL_OPERATIONAL_HOURS",ADULT_NON_ELECTIVE_SURGICAL_INPATIENT_PROC_THEATRES
THEATRES_INPATIENT_PROC,Paediatric elective,"CLASS_HAS_PROCEDURE, CLASS_AGE_CHILD, CLASS_ELECTIVE",INPATIENT_THEATRE_CHILD_ELEC_SURGICAL_PROC_TIME,FRM_TIME_UTIL,"INPATIENT_THEATRE_UTIL, INPATIENT_THEATRE_ANNUAL_OPERATIONAL_HOURS",PAEDIATRIC_ELECTIVE_INPATIENT_PROC_THEATRES
THEATRES_INPATIENT_PROC,Paediatric non-elective,"CLASS_HAS_PROCEDURE, CLASS_AGE_CHILD, CLASS_NON_ELECTIVE",INPATIENT_THEATRE_CHILD_NON_ELECTIVE_SURGICAL_PROC_TIME,FRM_TIME_UTIL,"INPATIENT_THEATRE_UTIL, INPATIENT_THEATRE_ANNUAL_OPERATIONAL_HOURS",PAEDIATRIC_NON_ELECTIVE_INPATIENT_PROC_THEATRES
LABS_CARDIAC_CATH_PROC,All groups,"(CLASS_CARDIOLOGY AND CLASS_HAS_PROCEDURE) OR, (CLASS_CARDIAC_CATH)",LABS_CARDIAC_CATH_PROC_TIME,FRM_TIME_UTIL,"LABS_CARDIAC_CATH_UTIL, LABS_CARDIAC_CATH_ANNUAL_OPERATIONAL_HOURS",CARDIAC_CATH_PROC_LABS
ROOMS_INT_RADIOLOGY_PROC,All groups,"CLASS_INT_RADIOLOGY, CLASS_HAS_PROCEDURE",INT_RADIOLOGY_PROC_TIME,FRM_TIME_UTIL,"INT_RADIOLOGY_PROC_UTIL, INT_RADIOLOGY_PROC_ANNUAL_OPERATIONAL_HOURS",INT_RADIOLOGY_PROC_ROOMS
