Assumption ID,Assumption Plain Text,Functional Area ID,Subgroup,Subgroup Variable Name,Metric,Assumption Category,Type,Unit,Value,Scope,Derivation,Source,Notes
BEDS_DAYCASE_RENAL_ANNUAL_SESSION_CAPACITY_PER_BED,Sessions per bed per year in renal day case unit,BEDS_DAYCASE_RENAL,all groups,,Annual session capacity per bed,operational,rate,sessions per bed per year,576,functional area,2 sessions/day × 6 days/week × 48 weeks/year,H2.0 Operational Standard,H2.0 Operational Standards references 2 patients per bed per day to manage throughput on medical day units
INPATIENT_ASSESSMENT_ADULT_OCC,Occupancy rate in adult inpatient assessment unit,BEDS_INPATIENT_ASSESSMENT,adult,,Occupancy rate,operational,proportion,percentage,0.85,subgroup,,,
INPATIENT_ASSESSMENT_ADULT_NON_ELECTIVE_MEDICAL_LOS,Hours spent in an assessment bed per adult non-elective medical inpatient spell,BEDS_INPATIENT_ASSESSMENT,adult non-elective medical,,Length of stay,workload,duration,hours,24,subgroup,,,
INPATIENT_ASSESSMENT_ADULT_NON_ELECTIVE_SURGICAL_LOS,Hours spent in an assessment bed per adult non-elective surgical inpatient spell,BEDS_INPATIENT_ASSESSMENT,adult non-elective surgical,,Length of stay,workload,duration,hours,24,subgroup,,,
INPATIENT_ASSESSMENT_ANNUAL_OPERATIONAL_DAYS,Days per year that inpatient assessment unit is operational,BEDS_INPATIENT_ASSESSMENT,all groups,,Annual operational days,operational,duration,days,365,functional area,,,
INPATIENT_ASSESSMENT_PAEDIATRIC_OCC,Occupancy rate in paediatric inpatient assessment unit,BEDS_INPATIENT_ASSESSMENT,paediatric,,Occupancy rate,operational,proportion,percentage,0.85,subgroup,,,
INPATIENT_ASSESSMENT_PAEDIATRIC_NON_ELECTIVE_MEDICAL_LOS,Hours spent in an assessment bed per paediatric non-elective medical inpatient spell,BEDS_INPATIENT_ASSESSMENT,paediatric non-elective medical,,Length of stay,workload,duration,hours,24,subgroup,,,
INPATIENT_ASSESSMENT_PAEDIATRIC_NON_ELECTIVE_SURGICAL_LOS,Hours spent in an assessment bed per paediatric non-elective surgical inpatient spell,BEDS_INPATIENT_ASSESSMENT,paediatric non-elective surgical,,Length of stay,workload,duration,hours,24,subgroup,,,
WARD_ADULT_ELECTIVE_OCC,Occupancy rate in adult elective inpatient ward,BEDS_INPATIENT_WARD,adult elective,,Occupancy rate,operational,proportion,percentage,0.92,subgroup,,H2.0 Operational Standard,
WARD_ADULT_ELECTIVE_MEDICAL_ZERO_DAY_LOS,Hours spent in an inpatient bed per 0-day length of stay adult elective medical spell,BEDS_INPATIENT_WARD,adult elective medical,,Length of stay,workload,duration,hours,12,subgroup,,,
WARD_ADULT_ELECTIVE_SURGICAL_ZERO_DAY_LOS,Hours spent in an inpatient bed per 0-day length of stay adult elective surgical spell,BEDS_INPATIENT_WARD,adult elective surgical,,Length of stay,workload,duration,hours,12,subgroup,,,
WARD_ADULT_NON_ELECTIVE_OCC,Occupancy rate in adult non-elective inpatient ward,BEDS_INPATIENT_WARD,adult non-elective,,Occupancy rate,operational,proportion,percentage,0.92,subgroup,,H2.0 Operational Standard,
WARD_ADULT_NON_ELECTIVE_MEDICAL_ZERO_DAY_LOS,Hours spent in an inpatient bed per 0-day length of stay adult non-elective medical spell,BEDS_INPATIENT_WARD,adult non-elective medical,,Length of stay,workload,duration,hours,12,subgroup,,,
WARD_ADULT_NON_ELECTIVE_SURGICAL_ZERO_DAY_LOS,Hours spent in an inpatient bed per 0-day length of stay adult non-elective surgical spell,BEDS_INPATIENT_WARD,adult non-elective surgical,,Length of stay,workload,duration,hours,12,subgroup,,,
WARD_ANNUAL_OPERATIONAL_DAYS,Days per year that inpatient ward is operational,BEDS_INPATIENT_WARD,all groups,,Annual operational days,operational,duration,days,365,functional area,,,
WARD_PAEDIATRIC_OCC,Occupancy rate in paediatric inpatient ward,BEDS_INPATIENT_WARD,paediatric,,Occupancy rate,operational,proportion,percentage,0.92,subgroup,,H2.0 Operational Standard,
WARD_PAEDIATRIC_ELECTIVE_MEDICAL_ZERO_DAY_LOS,Hours spent in an inpatient bed per 0-day length of stay paediatric elective medical spell,BEDS_INPATIENT_WARD,paediatric elective medical,,Length of stay,workload,duration,hours,12,subgroup,,,
WARD_PAEDIATRIC_ELECTIVE_SURGICAL_ZERO_DAY_LOS,Hours spent in an inpatient bed per 0-day length of stay paediatric elective surgical spell,BEDS_INPATIENT_WARD,paediatric elective surgical,,Length of stay,workload,duration,hours,12,subgroup,,,
WARD_PAEDIATRIC_NON_ELECTIVE_MEDICAL_ZERO_DAY_LOS,Hours spent in an inpatient bed per 0-day length of stay paediatric non-elective medical spell,BEDS_INPATIENT_WARD,paediatric non-elective medical,,Length of stay,workload,duration,hours,12,subgroup,,,
WARD_PAEDIATRIC_NON_ELECTIVE_SURGICAL_ZERO_DAY_LOS,Hours spent in an inpatient bed per 0-day length of stay paediatric non-elective surgical spell,BEDS_INPATIENT_WARD,paediatric non-elective surgical,,Length of stay,workload,duration,hours,12,subgroup,,,
MATERNITY_ASSESSMENT_ANNUAL_OPERATIONAL_HOURS,Hours per year that maternity assessment unit is operational,BEDS_MATERNITY_ASSESSMENT,all groups,,Annual operational hours,operational,duration,hours,3600,functional area,12 hours/day × 6 days/week × 50 weeks/year,,
MATERNITY_ASSESSMENT_OCC,Occupancy rate in maternity assessment unit,BEDS_MATERNITY_ASSESSMENT,all groups,,Occupancy rate,operational,proportion,percentage,0.85,functional area,,,
MATERNITY_ASSESSMENT_ZERO_DAY_LOS,Hours spent in maternity assessment unit per 0-day length of stay spell,BEDS_MATERNITY_ASSESSMENT,all groups,,Length of stay,workload,duration,hours,2,functional area,,,
MATERNITY_WARD_ANNUAL_OPERATIONAL_DAYS,Days per year that maternity ward is operational,BEDS_MATERNITY_WARD,all groups,,Annual operational days,operational,duration,days,365,functional area,,,
MATERNITY_WARD_OCC,Occupancy rate in maternity ward,BEDS_MATERNITY_WARD,all groups,,Occupancy rate,operational,proportion,percentage,0.75,functional area,,,
MATERNITY_WARD_ASSISTED_DELIVERY_ZERO_DAY_LOS,Hours spent in maternity ward per 0-day length of stay assisted delivery spell,BEDS_MATERNITY_WARD,assisted delivery,,Length of stay,workload,duration,hours,12,subgroup,,,
MATERNITY_WARD_ELECTIVE_C_SECTION_ZERO_DAY_LOS,Hours spent in maternity ward per 0-day length of stay elective c-section spell,BEDS_MATERNITY_WARD,elective C-section,,Length of stay,workload,duration,hours,0,subgroup,,,
MATERNITY_WARD_NON_ELECTIVE_C_SECTION_ZERO_DAY_LOS,Hours spent in maternity ward per 0-day length of stay non-elective c-section spell,BEDS_MATERNITY_WARD,non-elective C-section,,Length of stay,workload,duration,hours,12,subgroup,,,
MATERNITY_WARD_NORMAL_DELIVERY_ZERO_DAY_LOS,Hours spent in maternity ward per 0-day length of stay normal delivery spell,BEDS_MATERNITY_WARD,normal delivery,,Length of stay,workload,duration,hours,12,subgroup,,,
LABS_CARDIAC_CATH_ANNUAL_OPERATIONAL_HOURS,Hours per year that cardiac catheterisation laboratory is operational,LABS_CARDIAC_CATH_PROC,all groups,,Annual operational hours,operational,duration,hours,2880,functional area,10 hours/day × 6 days/week × 48 weeks/year,H2.0 Operational Standard,
LABS_CARDIAC_CATH_PROC_TIME,Procedure time in cardiac catheterisation laboratory,LABS_CARDIAC_CATH_PROC,all groups,,Procedure time,workload,duration,minutes,120,functional area,,,
LABS_CARDIAC_CATH_UTIL,Utilisation rate of cardiac catheterisation laboratory,LABS_CARDIAC_CATH_PROC,all groups,,Utilisation rate,operational,proportion,percentage,0.85,functional area,,H2.0 Operational Standard,
ENDOSCOPY_PROC_ANNUAL_OPERATIONAL_HOURS,Hours per year that endoscopy room is operational,ROOMS_ENDOSCOPY_PROC,all groups,,Annual operational hours,operational,duration,hours,2880,functional area,10 hours/day × 6 days/week × 48 weeks/year,H2.0 Operational Standard,
ENDOSCOPY_PROC_TIME,Procedure time in endoscopy room,ROOMS_ENDOSCOPY_PROC,all groups,,Procedure time,workload,duration,minutes,60,functional area,,,
ENDOSCOPY_PROC_UTIL,Utilisation rate of endoscopy room,ROOMS_ENDOSCOPY_PROC,all groups,,Utilisation rate,operational,proportion,percentage,0.85,functional area,,H2.0 Operational Standard,
INT_RADIOLOGY_PROC_ANNUAL_OPERATIONAL_HOURS,Hours per year that interventional radiology room is operational,ROOMS_INT_RADIOLOGY_PROC,all groups,,Annual operational hours,operational,duration,hours,2880,functional area,10 hours/day × 6 days/week × 48 weeks/year,H2.0 Operational Standard,
INT_RADIOLOGY_PROC_TIME,Procedure time in interventional radiology room,ROOMS_INT_RADIOLOGY_PROC,all groups,,Procedure time,workload,duration,minutes,120,functional area,,,
INT_RADIOLOGY_PROC_UTIL,Utilisation rate of interventional radiology room,ROOMS_INT_RADIOLOGY_PROC,all groups,,Utilisation rate,operational,proportion,percentage,0.85,functional area,,H2.0 Operational Standard,
MATERNITY_BIRTH_ROOM_ANNUAL_OPERATIONAL_DAYS,Days per year that maternity birth room is operational,ROOMS_MATERNITY_BIRTH,all groups,,Annual operational days,operational,duration,days,365,functional area,,,
MATERNITY_BIRTH_ROOM_OCC,Occupancy rate in maternity birth room,ROOMS_MATERNITY_BIRTH,all groups,,Occupancy rate,operational,proportion,percentage,0.7,functional area,,,
MATERNITY_ASSISTED_DELIVERY_BIRTH_ROOM_LOS,Duration of stay in assisted delivery maternity birth room,ROOMS_MATERNITY_BIRTH,assisted delivery,,Length of stay,workload,duration,hours,34,subgroup,,,
MATERNITY_NON_ELECTIVE_C_SECTION_BIRTH_ROOM_LOS,Duration of stay in non-elective c-section maternity birth room,ROOMS_MATERNITY_BIRTH,non-elective C-section,,Length of stay,workload,duration,hours,12,subgroup,,,
MATERNITY_NORMAL_DELIVERY_BIRTH_ROOM_LOS,Duration of stay in normal delivery maternity birth room,ROOMS_MATERNITY_BIRTH,normal delivery,,Length of stay,workload,duration,hours,26,subgroup,,,
OP_CONSULT_ANNUAL_OPERATIONAL_HOURS,Hours per year that outpatient consultation room is operational,ROOMS_OUTPATIENT_CONSULT,all groups,,Annual operational hours,operational,duration,hours,2860,functional area,55 hours/week × 52 weeks/year,H2.0 Operational Standard,H2.0 Standard for Outpatients - All; Day Surgery Unit = 72 hours/week × 48 weeks/year
OP_CONSULT_UTIL,Utilisation rate of outpatient consultation room,ROOMS_OUTPATIENT_CONSULT,all groups,,Utilisation rate,operational,proportion,percentage,0.85,functional area,,H2.0 Operational Standard,
OP_CONSULT_FIRST_DNA_RATE,Did-not-attend rate for first attendance in outpatient consultation room,ROOMS_OUTPATIENT_CONSULT,first attendance,,Did not attend rate,workload,proportion,percentage,0.07,subgroup,,,
OP_CONSULT_FIRST_DNA_TIME,Time allocated when a first attendance appointment is not attended in outpatient consultation room,ROOMS_OUTPATIENT_CONSULT,first attendance,,Did not attend time,workload,duration,minutes,20,subgroup,,,
OP_CONSULT_FIRST_TIME,Consultation time for first attendance in outpatient consultation room,ROOMS_OUTPATIENT_CONSULT,first attendance,,Consultation time,workload,duration,minutes,38,subgroup,,,
OP_CONSULT_FOLLOW_UP_DNA_RATE,Did-not-attend rate for follow-up attendance in outpatient consultation room,ROOMS_OUTPATIENT_CONSULT,follow-up attendance,,Did not attend rate,workload,proportion,percentage,0.089,subgroup,,,
